Maximum CNC 25 LB,"-0.09207",N
Time at Maximum CNC 25 LB,"0.00000",s
Extension at Maximum CNC 25 LB,"-0.00254",mm
Rate 1,"0.14700",mm/s
Start date,"9/14/2021"
Specimen label,""

Time,Extension,CNC 25 LB
(s),(mm),(N)
"14.62500","2.14365","-21.77821"
"14.65000","2.14733","-21.77845"
"14.67500","2.15106","-21.78081"
"14.70000","2.15479","-21.78148"
"14.72500","2.15844","-21.78091"
"14.75000","2.16204","-21.78205"
"14.77500","2.16572","-21.77844"
"14.80000","2.16940","-21.77555"
"14.82500","2.17314","-21.77031"
"14.85000","2.17682","-21.76780"
"14.87500","2.18047","-21.75849"
"14.90000","2.18409","-21.74985"
"14.92500","2.18775","-21.74218"
"14.95000","2.19151","-21.73669"
"14.97500","2.19525","-21.73205"
"15.00000","2.19884","-21.73014"
"15.02500","2.20242","-21.72638"
"15.05000","2.20611","-21.72404"
"15.07500","2.20983","-21.71846"
"15.10000","2.21354","-21.71456"
"15.12500","2.21723","-21.71066"
"15.15000","2.22085","-21.70357"
"15.17500","2.22450","-21.69716"
"15.20000","2.22818","-21.68636"
"15.22500","2.23191","-21.68684"
"15.25000","2.23563","-21.67877"
"15.27500","2.23923","-21.67842"
"15.30000","2.24286","-21.66717"
"15.32500","2.24656","-21.64969"
"15.35000","2.25028","-21.63052"
"15.37500","2.25399","-21.62004"
"15.40000","2.25766","-21.61331"
"15.42500","2.26130","-21.60346"
"15.45000","2.26490","-21.60200"
"15.47500","2.26860","-21.59412"
"15.50000","2.27233","-21.59181"
"15.52500","2.27602","-21.58106"
"15.55000","2.27961","-21.57907"
"15.57500","2.28321","-21.58434"
"15.60000","2.28694","-21.59399"
"15.62500","2.29063","-21.59773"
"15.65000","2.29431","-21.60449"
"15.67500","2.29795","-21.60907"
"15.70000","2.30155","-21.61557"
"15.72500","2.30520","-21.62120"
"15.75000","2.30889","-21.63027"
"15.77500","2.31262","-21.63974"
"15.80000","2.31630","-21.64681"
"15.82500","2.31994","-21.65263"
"15.85000","2.32358","-21.65358"
"15.87500","2.32726","-21.65364"
"15.90000","2.33095","-21.65461"
"15.92500","2.33466","-21.65227"
"15.95000","2.33833","-21.64655"
"15.97500","2.34196","-21.64434"
"16.00000","2.34556","-21.65026"
"16.02500","2.34927","-21.65236"
"16.05000","2.35303","-21.65533"
"16.07500","2.35676","-21.65835"
"16.10000","2.36039","-21.64401"
"16.12500","2.36396","-21.63441"
"16.15000","2.36768","-21.63462"
"16.17500","2.37138","-21.64466"
"16.20000","2.37510","-21.65144"
"16.22500","2.37877","-21.65779"
"16.25000","2.38241","-21.66314"
"16.27500","2.38608","-21.66649"
"16.30000","2.38978","-21.67487"
"16.32500","2.39354","-21.67879"
"16.35000","2.39725","-21.68435"
"16.37500","2.40089","-21.68690"
"16.40000","2.40452","-21.69134"
"16.42500","2.40823","-21.69286"
"16.45000","2.41188","-21.69239"
"16.47500","2.41558","-21.68726"
"16.50000","2.41928","-21.68533"
"16.52500","2.42293","-21.68015"
"16.55000","2.42654","-21.67594"
"16.57500","2.43024","-21.66137"
"16.60000","2.43397","-21.61751"
"16.62500","2.43771","-21.60498"
"16.65000","2.44135","-21.61301"
"16.67500","2.44496","-21.63200"
"16.70000","2.44864","-21.64255"
"16.72500","2.45231","-21.65951"
"16.75000","2.45606","-21.66790"
"16.77500","2.45975","-21.68451"
"16.80000","2.46337","-21.69309"
"16.82500","2.46698","-21.70881"
"16.85000","2.47070","-21.72216"
"16.87500","2.47446","-21.73647"
"16.90000","2.47814","-21.74934"
"16.92500","2.48178","-21.76510"
"16.95000","2.48542","-21.77826"
"16.97500","2.48910","-21.79437"
"17.00000","2.49279","-21.80902"
"17.02500","2.49652","-21.82369"
"17.05000","2.50024","-21.83821"
"17.07500","2.50383","-21.85331"
"17.10000","2.50743","-21.87036"
"17.12500","2.51113","-21.88427"
"17.15000","2.51483","-21.90211"
"17.17500","2.51855","-21.91603"
"17.20000","2.52221","-21.93468"
"17.22500","2.52584","-21.95138"
"17.25000","2.52952","-21.96889"
"17.27500","2.53320","-21.98595"
"17.30000","2.53695","-22.00214"
"17.32500","2.54065","-22.01995"
"17.35000","2.54426","-22.03508"
"17.37500","2.54782","-22.05312"
"17.40000","2.55153","-22.06905"
"17.42500","2.55528","-22.08442"
"17.45000","2.55902","-22.10390"
"17.47500","2.56271","-22.11996"
"17.50000","2.56634","-22.13766"
"17.52500","2.57000","-22.15316"
"17.55000","2.57366","-22.17223"
"17.57500","2.57740","-22.18881"
"17.60000","2.58109","-22.20748"
